B	1052.0978076312
O	-10.7845699318

BE	-279.9786620898
F	209.4344211842

BE	-188.7928324210
H	183.3014885089

H	-60.3368057086
C	40.6745590570

C	1592.3578147282
O	23.3486873883

CL	127.0248945486
CL	127.0248945486

O	-50.7795220570
H	-77.0425477290

H	-53.6798835299
S	34.4414036506

B	348.9600951876
H	34.6862476577
H	34.6862487421

BE	-253.4951534791
O	-43.9367079332
H	2.2906904442

C	471.8885801069
H	-45.9342166417
H	-45.9342162653

C	68.0615193993
H	-46.1441452316
H	-46.1441452316

C	224.1406098052
C	1047.3012510714
H	54.7867421671

H	359.9120630760
C	387.4599466615
O	-44.3200347732

C	293.3448099249
H	123.0932015892
S	18.6208560788

H	-22.8528723657
O	-60.9725009328
O	-34.7746736232

O	-81.0821191424
H	-80.0950329971
H	-80.0950330185

H	-70.4218870033
H	-70.4218878513
N	28.2274854451

C	77.0117772175
H	-73.9765282663
H	-73.9769136000
H	-73.9762814924

C	426.7506035719
F	242.8200486619
F	242.7740658983
H	56.6848102760

C	-81.3938845547
H	212.2901719075
H	212.2903662882
N	26.3588234994

N	46.9983400129
H	-85.4603245268
H	-85.4601286850
H	-85.4602742944

P	1211.4291740072
H	0.9742830875
H	1.0217191164
H	1.0146322073

C	-17.8940562733
C	321.6390619448
H	161.3727587662
H	96.1872750740
H	37.8469706301

H	-67.5029122285
C	74.0371484408
H	-67.5005918188
C	-73.2282782128
N	9.8097200695

H	-66.1071248057
C	67.1729165888
H	-66.1567623971
C	-69.5077611301
O	-20.3872703749

