0B	1106.0651
1O	-15.5680

0Be	-300.2608
1F	253.6469

0Be	-198.7562
1H	188.0818

0H	-51.6509
1C	37.0762

0C	1651.6859
1O	24.7400

0Cl	101.4922
1Cl	101.4922

0O	-36.5955
1H	-67.6990

0H	-37.5477
1S	3.4144

0B	344.8404
1H	41.0187
2H	41.0187

0Be	-271.0987
1O	-53.2669
2H	2.7445

0C	59.5671
1H	-39.8158
2H	-39.8158

0C	239.6645
1C	1062.3552
2H	55.3551

0C	285.1577
1H	131.2772
2S	8.4343

0H	-20.4439
1O	-43.5282
2O	-27.3448

0O	-59.2089
1H	-71.7155
2H	-71.7155

0H	-61.9410
1H	-61.9410
2N	23.4137

0C	67.8354
1H	-65.7018
2H	-65.7021
3H	-65.7014

0C	399.4725
1F	218.2639
2F	218.2242
3H	67.4004

0C	-74.2221
1H	226.4715
2H	226.4717
3N	20.5247

0N	38.0975
1H	-76.5043
2H	-76.5041
3H	-76.5042

0P	1049.4571
1H	14.6648
2H	14.7159
3H	14.7079

0C	-13.9356
1C	307.8236
2H	173.2450
3H	111.9360
4H	52.4586

0C	65.6297
3C	-67.6205
1H	-62.3768
2H	-62.3754
4N	9.1375

0C	56.7738
3C	-59.0369
1H	-59.7129
2H	-59.7551
4O	-16.2099

