0B	1119.9485
1O	-16.7746

0Be	-302.9554
1F	255.6383

0Be	-200.7070
1H	190.9914

0H	-52.5976
1C	39.7639

0C	1675.9781
1O	23.1875

0Cl	104.0378

0O	-39.6459
1H	-69.4206

0H	-37.5178

0B	348.3934
1H	41.6383

0Be	-273.5507
2H	2.8619

2H	-12.3267

0C	62.7661
1H	-40.3537

0C	238.3004
1C	1073.4069
2H	56.9654

0C	378.7055
1H	381.1167
2O	-40.7395

1H	131.3201

0H	-20.3854

0O	-63.8298
1H	-73.7267

0H	-63.3452
2N	24.9171

0C	72.0218
1H	-67.2581

0C	406.2253
1F	228.9067
3H	66.4076

0C	-78.5801
1H	226.6674
3N	22.3403

0N	40.4661
1H	-78.7113

0P	1064.2900
1H	14.9861

0C	-16.6713
1C	313.3707
2H	174.0101
3H	112.5441
4H	51.5018

2H	-64.8235
4N	10.2921

1H	-61.4606

