0B	1032.7639
1O	-11.8153

0Be	-275.8455
1F	237.7734

0Be	-181.5614
1H	182.3074

0H	-52.6699
1C	95.3530

0C	1588.9104
1O	28.9854

0Cl	122.8320
1Cl	122.8320

0O	-80.1534
1H	-66.9818

0H	-41.0426
1S	28.6662

0B	362.6829
1H	37.8737
2H	37.8763

0Be	-247.4025
1O	-51.6543
2H	2.6065

0C	256.9950
1H	-13.9317
2H	-13.9317

0C	116.6148
1H	-40.6903
2H	-40.6903

0C	240.4663
1C	1044.8441
2H	58.7477

0C	416.2183
1H	352.6349
2O	-42.8589

0C	314.5218
1H	122.0351
2S	19.1575

0H	-20.3431
1O	-66.8439
2O	-30.6295

0O	-100.1455
1H	-71.4747
2H	-71.4756

0H	-61.6531
1H	-61.6533
2N	40.3473

0C	107.8867
1H	-64.9462
2H	-64.9473
3H	-64.9450

0C	428.0124
1F	232.2751
2F	232.2346
3H	63.7765

0C	-68.4196
1H	212.8914
2H	212.8915
3N	34.1137

0N	53.1197
1H	-75.2378
2H	-75.2390
3H	-75.2390

0P	1151.8020
1H	5.3094
2H	5.3509
3H	5.3436

0C	-10.8809
1C	342.7994
2H	164.2772
3H	105.1837
4H	45.7664

0C	91.8071
3C	-75.1995
1H	-61.5106
2H	-61.5076
4N	12.4696

0C	90.5539
3C	-64.5137
1H	-59.6347
2H	-59.6715
4O	-20.0553

