0B	1038.6371
1O	2.7997

0Be	-294.1027
1F	311.5272

0Be	-193.0190
1H	181.4758

0H	-46.4925
1C	-137.2527

0C	1506.7159
1O	36.6388

0Cl	175.8648
1Cl	175.8648

0O	159.8676
1H	-66.7087

0H	-38.0142
1S	-32.8383

0B	390.5296
1H	16.9248
2H	15.5543

0Be	-268.3187
1O	-56.7171
2H	2.7219

0C	204.9287
1H	-29.0977
2H	-29.0977

0C	-18.8682
1H	-33.8486
2H	-33.8486

0C	217.1070
1C	972.0478
2H	82.7625

0C	328.2586
1H	375.5344
2O	20.9697

0C	245.1254
1H	131.4082
2S	-9.1383

0H	-20.7389
1O	107.4712
2O	23.6941

0O	125.6289
1H	-68.2403
2H	-68.1470

0H	-55.4342
1H	-55.2425
2N	-32.8648

0C	-29.0632
1H	-59.9700
2H	-59.9122
3H	-60.1013

0C	310.2630
1F	-54.2860
2F	-52.8391
3H	58.9296

0C	-78.9394
1H	244.5287
2H	244.5289
3N	-37.7120

0N	-18.3436
1H	-73.2825
2H	-72.9999
3H	-72.9998

0P	1071.2968
1H	-7.9104
2H	-8.1497
3H	-8.1588

0C	-28.5696
1C	241.9277
2H	191.0848
3H	117.2153
4H	40.2994

0C	-8.1756
3C	-47.8176
1H	-54.6709
2H	-54.5222
4N	-6.2044

0C	-23.4233
3C	-50.5917
1H	-54.6750
2H	-54.6520
4O	26.4523

