0B	1057.4562
1O	-6.1040

0Be	-298.3432
1F	259.2519

0Be	-199.1300
1H	192.9107

0H	-44.0908
1C	50.6738

0C	1525.1857
1O	31.1568

0Cl	87.9016
1Cl	87.9016

0O	-37.7711
1H	-62.4528

0H	-39.6472
1S	13.0530

0B	361.0694
1H	46.8698
2H	46.8697

0Be	-271.5922
1O	-55.9701
2H	4.0317

0C	231.9157
1H	-5.1487
2H	-5.1487

0C	80.3124
1H	-35.6123
2H	-35.6123

0C	227.8212
1C	1056.4142
2H	59.7852

0C	388.6186
1H	384.1381
2O	-28.8798

0C	284.5981
1H	141.0092
2S	9.7003

0H	-22.0672
1O	-31.3617
2O	-19.9314

0O	-53.2869
1H	-66.7636
2H	-66.7636

0H	-56.7538
1H	-56.7538
2N	25.5195

0C	75.0399
1H	-59.6302
2H	-59.6304
3H	-59.6299

0C	389.6440
1F	195.4063
2F	195.3756
3H	80.2653

0C	-59.7093
1H	246.3437
2H	246.3439
3N	19.4210

0N	36.2139
1H	-70.3427
2H	-70.3426
3H	-70.3426

0P	1011.0986
1H	17.8858
2H	17.9399
3H	17.9313

0C	-5.8802
1C	307.8365
2H	189.0261
3H	116.9428
4H	63.0781

0C	59.4874
3C	-47.8069
1H	-51.6766
2H	-51.6752
4N	7.5700

0C	62.3118
3C	-43.9564
1H	-54.0935
2H	-54.1314
4O	-10.0359

